# /mnt/proj1/open-30-12/acamm/structures/borophIr/bphirsi/latpes
00 00 -581.84766458
00 01 -582.52273576
00 02 -581.90769781
00 03 -581.94312983
00 04 -582.33259836
00 05 -581.76233937
00 06 -582.52278839
00 07 -581.90758279
00 08 -581.94302033
00 09 -582.33255131

01 00 -581.65391768
01 01 -583.12360316
01 02 -581.47625473
01 03 -582.38999095
01 04 -582.53530097
01 05 -581.65414553
01 06 -583.12355778
01 07 -581.47626954
01 08 -582.38988076
01 09 -582.53534425

02 00 -581.80782523
02 01 -584.14048467
02 02 -582.11639178
02 03 -582.77957206
02 04 -583.40749488
02 05 -581.80782216
02 06 -584.14030889
02 07 -582.11634863
02 08 -582.77954746
02 09 -583.40742993

03 00 -582.07074595
03 01 -583.79157602
03 02 -583.04053601
03 03 -583.05997995
03 04 -584.22523665
03 05 -582.07062407
03 06 -583.79149383
03 07 -583.04048686
03 08 -583.05995862
03 09 -584.22517720

04 00 -582.67406335
04 01 -583.68644008
04 02 -582.54772549
04 03 -582.57460586
04 04 -583.44709882
04 05 -582.67406107
04 06 -583.68645756
04 07 -582.54778141
04 08 -582.57469511
04 09 -583.44736000

05 00 -581.84758290
05 01 -582.52274892
05 02 -581.90766835
05 03 -581.94322472
05 04 -582.33260778
05 05 -581.84764205
05 06 -582.52283303
05 07 -581.90753304
05 08 -581.94325756
05 09 -582.33255151

06 00 -581.65399719
06 01 -583.12374644
06 02 -581.47630382
06 03 -582.38988016
06 04 -582.53460565
06 05 -581.65409096
06 06 -583.12376816
06 07 -581.47614602
06 08 -582.38999238
06 09 -582.53477958

07 00 -581.80777957
07 01 -584.14039671
07 02 -582.11630262
07 03 -582.77945138
07 04 -583.40755223
07 05 -581.80779739
07 06 -584.14039237
07 07 -582.11637786
07 08 -582.77956835
07 09 -583.40747489

08 00 -582.07071687
08 01 -583.79159437
08 02 -583.04056869
08 03 -583.05994506
08 04 -584.22501458
08 05 -582.07076535
08 06 -583.79155187
08 07 -583.04048843
08 08 -583.05989967
08 09 -584.22515806

09 00 -582.67401470
09 01 -583.68630695
09 02 -582.54779935
09 03 -582.57470426
09 04 -583.44762683
09 05 -582.67408680
09 06 -583.68632487
09 07 -582.54751095
09 08 -582.57465475
09 09 -583.44755627

